"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BHP","BHP Group Limited","56.11","141874135000","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/bhp",
"BIOX","Bioceres Crop Solutions Corp.","5","180602585","n/a","2018","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/biox",
"BAK","Braskem S.A.","25.86","10288836482.4","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/bak",
"BBU","Brookfield Business Partners L.P.","38.24","2530944915.52","n/a","2016","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/bbu",
"BVN","Buenaventura Mining Company Inc.","16.72","4246660416.24","n/a","1996","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/bvn",
"CBT","Cabot Corporation","42.98","2558174241.84","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cbt",
"CMCL","Caledonia Mining Corporation Plc","5.87","63101936.48","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/cmcl",
"CLXT","Calyxt, Inc.","16.97","554726034.13","n/a","2017","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/clxt",
"CCJ","Cameco Corporation","11.7","4630774964.4","n/a","1996","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/ccj",
"CSL","Carlisle Companies Incorporated","124.29","7109255258.28","n/a","n/a","Basic Industries","Specialty Chemicals","https://www.nasdaq.com/symbol/csl",
"CRS","Carpenter Technology Corporation","47.77","2263352106.23","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/crs",
"CVCO","Cavco Industries, Inc.","119.43","1086612357.6","n/a","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/cvco",
"CE","Celanese Corporation","101.81","13015719246.3","n/a","2005","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ce",
"LEU","Centrus Energy Corp.","3.18","28743228.18","n/a","2014","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/leu",
"CENX","Century Aluminum Company","8.85","779715444","n/a","1996","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/cenx",
"CF","CF Industries Holdings, Inc.","41.68","9269510586.16","n/a","2005","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/cf",
"CHRA","Charah Solutions, Inc.","6.18","182647353.84","n/a","2018","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/chra",
"CC","Chemours Company (The)","37.32","6205661705.76","n/a","2015","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cc",
"CADC","China Advanced Construction Materials Group, Inc.","2.86","15972030.36","n/a","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/cadc",
"CGA","China Green Agriculture, Inc.","0.5082","20097757.449","n/a","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/cga",
"CHNR","China Natural Resources, Inc.","1.7375","43282716.55","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/chnr",
"CHD","Church & Dwight Company, Inc.","72.01","17709628489.05","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/chd",
"CINR","Ciner Resources LP","24.82","490053550.82","n/a","2013","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/cinr",
"CLH","Clean Harbors, Inc.","71.79","4009840644.18","n/a","n/a","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/clh",
"CLW","Clearwater Paper Corporation","20.82","343845547.92","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/clw",
"CLF","Cleveland-Cliffs Inc.","10.27","2984139881.45","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/clf",
